,index,country,total_case,total_recovered,total_death,daily_cases,daily_recovered,daily_death,existing_case
1,2020-01-23,Afghanistan,0,0,0,0,0,0,0
2,2020-01-24,Afghanistan,0,0,0,0,0,0,0
3,2020-01-25,Afghanistan,0,0,0,0,0,0,0
4,2020-01-26,Afghanistan,0,0,0,0,0,0,0
5,2020-01-27,Afghanistan,0,0,0,0,0,0,0
6,2020-01-28,Afghanistan,0,0,0,0,0,0,0
7,2020-01-29,Afghanistan,0,0,0,0,0,0,0
8,2020-01-30,Afghanistan,0,0,0,0,0,0,0
9,2020-01-31,Afghanistan,0,0,0,0,0,0,0
10,2020-02-01,Afghanistan,0,0,0,0,0,0,0
11,2020-02-02,Afghanistan,0,0,0,0,0,0,0
12,2020-02-03,Afghanistan,0,0,0,0,0,0,0
13,2020-02-04,Afghanistan,0,0,0,0,0,0,0
14,2020-02-05,Afghanistan,0,0,0,0,0,0,0
15,2020-02-06,Afghanistan,0,0,0,0,0,0,0
16,2020-02-07,Afghanistan,0,0,0,0,0,0,0
17,2020-02-08,Afghanistan,0,0,0,0,0,0,0
18,2020-02-09,Afghanistan,0,0,0,0,0,0,0
19,2020-02-10,Afghanistan,0,0,0,0,0,0,0
20,2020-02-11,Afghanistan,0,0,0,0,0,0,0
21,2020-02-12,Afghanistan,0,0,0,0,0,0,0
22,2020-02-13,Afghanistan,0,0,0,0,0,0,0
23,2020-02-14,Afghanistan,0,0,0,0,0,0,0
24,2020-02-15,Afghanistan,0,0,0,0,0,0,0
25,2020-02-16,Afghanistan,0,0,0,0,0,0,0
26,2020-02-17,Afghanistan,0,0,0,0,0,0,0
27,2020-02-18,Afghanistan,0,0,0,0,0,0,0
28,2020-02-19,Afghanistan,0,0,0,0,0,0,0
29,2020-02-20,Afghanistan,0,0,0,0,0,0,0
30,2020-02-21,Afghanistan,0,0,0,0,0,0,0
31,2020-02-22,Afghanistan,0,0,0,0,0,0,0
32,2020-02-23,Afghanistan,0,0,0,0,0,0,0
33,2020-02-24,Afghanistan,1,0,0,-1,0,0,1
34,2020-02-25,Afghanistan,1,0,0,0,0,0,1
35,2020-02-26,Afghanistan,1,0,0,0,0,0,1
36,2020-02-27,Afghanistan,1,0,0,0,0,0,1
37,2020-02-28,Afghanistan,1,0,0,0,0,0,1
38,2020-02-29,Afghanistan,1,0,0,0,0,0,1
39,2020-03-01,Afghanistan,1,0,0,0,0,0,1
40,2020-03-02,Afghanistan,1,0,0,0,0,0,1
41,2020-03-03,Afghanistan,1,0,0,0,0,0,1
42,2020-03-04,Afghanistan,1,0,0,0,0,0,1
43,2020-03-05,Afghanistan,1,0,0,0,0,0,1
44,2020-03-06,Afghanistan,1,0,0,0,0,0,1
45,2020-03-07,Afghanistan,1,0,0,0,0,0,1
46,2020-03-08,Afghanistan,4,0,0,-3,0,0,4
47,2020-03-09,Afghanistan,4,0,0,0,0,0,4
48,2020-03-10,Afghanistan,5,0,0,-1,0,0,5
49,2020-03-11,Afghanistan,7,0,0,-2,0,0,7
50,2020-03-12,Afghanistan,7,0,0,0,0,0,7
51,2020-03-13,Afghanistan,7,0,0,0,0,0,7
52,2020-03-14,Afghanistan,11,0,0,-4,0,0,11
53,2020-03-15,Afghanistan,16,0,0,-5,0,0,16
54,2020-03-16,Afghanistan,21,1,0,-5,-1,0,20
55,2020-03-17,Afghanistan,22,1,0,-1,0,0,21
56,2020-03-18,Afghanistan,22,1,0,0,0,0,21
57,2020-03-19,Afghanistan,22,1,0,0,0,0,21
58,2020-03-20,Afghanistan,24,1,0,-2,0,0,23
59,2020-03-21,Afghanistan,24,1,0,0,0,0,23
60,2020-03-22,Afghanistan,40,1,1,-16,0,-1,38
61,2020-03-23,Afghanistan,40,1,1,0,0,0,38
62,2020-03-24,Afghanistan,74,1,1,-34,0,0,72
63,2020-03-25,Afghanistan,84,2,2,-10,-1,-1,80
64,2020-03-26,Afghanistan,94,2,4,-10,0,-2,88
65,2020-03-27,Afghanistan,110,2,4,-16,0,0,104
66,2020-03-28,Afghanistan,110,2,4,0,0,0,104
67,2020-03-29,Afghanistan,120,2,4,-10,0,0,114
68,2020-03-30,Afghanistan,170,2,4,-50,0,0,164
69,2020-03-31,Afghanistan,174,5,4,-4,-3,0,165
70,2020-04-01,Afghanistan,237,5,4,-63,0,0,228
71,2020-04-02,Afghanistan,273,10,6,-36,-5,-2,257
72,2020-04-03,Afghanistan,281,10,6,-8,0,0,265
73,2020-04-04,Afghanistan,299,10,7,-18,0,-1,282
74,2020-04-05,Afghanistan,349,15,7,-50,-5,0,327
75,2020-04-06,Afghanistan,367,18,11,-18,-3,-4,338
76,2020-04-07,Afghanistan,423,18,14,-56,0,-3,391
77,2020-04-08,Afghanistan,444,29,14,-21,-11,0,401
78,2020-04-09,Afghanistan,484,32,15,-40,-3,-1,437
79,2020-04-10,Afghanistan,521,32,15,-37,0,0,474
80,2020-04-11,Afghanistan,555,32,18,-34,0,-3,505
81,2020-04-12,Afghanistan,607,32,18,-52,0,0,557
82,2020-04-13,Afghanistan,665,32,21,-58,0,-3,612
83,2020-04-14,Afghanistan,714,40,23,-49,-8,-2,651
84,2020-04-15,Afghanistan,784,43,25,-70,-3,-2,716
85,2020-04-16,Afghanistan,840,54,30,-56,-11,-5,756
86,2020-04-17,Afghanistan,906,99,30,-66,-45,0,777
87,2020-04-18,Afghanistan,933,112,30,-27,-13,0,791
88,2020-04-19,Afghanistan,996,131,33,-63,-19,-3,832
89,2020-04-20,Afghanistan,1026,135,36,-30,-4,-3,855
90,2020-04-21,Afghanistan,1092,150,36,-66,-15,0,906
91,2020-04-22,Afghanistan,1176,166,40,-84,-16,-4,970
92,2020-04-23,Afghanistan,1279,179,42,-103,-13,-2,1058
93,2020-04-24,Afghanistan,1351,188,43,-72,-9,-1,1120
94,2020-04-25,Afghanistan,1463,188,47,-112,0,-4,1228
95,2020-04-26,Afghanistan,1531,207,50,-68,-19,-3,1274
96,2020-04-27,Afghanistan,1703,220,57,-172,-13,-7,1426
97,2020-04-28,Afghanistan,1828,228,58,-125,-8,-1,1542
98,2020-04-29,Afghanistan,1939,252,60,-111,-24,-2,1627
99,2020-04-30,Afghanistan,2171,260,64,-232,-8,-4,1847
100,2020-05-01,Afghanistan,2335,310,68,-164,-50,-4,1957
101,2020-05-02,Afghanistan,2469,331,72,-134,-21,-4,2066
102,2020-05-03,Afghanistan,2704,345,85,-235,-14,-13,2274
103,2020-05-04,Afghanistan,2894,397,90,-190,-52,-5,2407
104,2020-05-05,Afghanistan,3224,421,95,-330,-24,-5,2708
106,2020-01-23,Albania,0,0,0,0,0,0,0
107,2020-01-24,Albania,0,0,0,0,0,0,0
108,2020-01-25,Albania,0,0,0,0,0,0,0
109,2020-01-26,Albania,0,0,0,0,0,0,0
110,2020-01-27,Albania,0,0,0,0,0,0,0
111,2020-01-28,Albania,0,0,0,0,0,0,0
112,2020-01-29,Albania,0,0,0,0,0,0,0
113,2020-01-30,Albania,0,0,0,0,0,0,0
114,2020-01-31,Albania,0,0,0,0,0,0,0
115,2020-02-01,Albania,0,0,0,0,0,0,0
116,2020-02-02,Albania,0,0,0,0,0,0,0
117,2020-02-03,Albania,0,0,0,0,0,0,0
118,2020-02-04,Albania,0,0,0,0,0,0,0
119,2020-02-05,Albania,0,0,0,0,0,0,0
120,2020-02-06,Albania,0,0,0,0,0,0,0
121,2020-02-07,Albania,0,0,0,0,0,0,0
122,2020-02-08,Albania,0,0,0,0,0,0,0
123,2020-02-09,Albania,0,0,0,0,0,0,0
124,2020-02-10,Albania,0,0,0,0,0,0,0
125,2020-02-11,Albania,0,0,0,0,0,0,0
126,2020-02-12,Albania,0,0,0,0,0,0,0
127,2020-02-13,Albania,0,0,0,0,0,0,0
128,2020-02-14,Albania,0,0,0,0,0,0,0
129,2020-02-15,Albania,0,0,0,0,0,0,0
130,2020-02-16,Albania,0,0,0,0,0,0,0
131,2020-02-17,Albania,0,0,0,0,0,0,0
132,2020-02-18,Albania,0,0,0,0,0,0,0
133,2020-02-19,Albania,0,0,0,0,0,0,0
134,2020-02-20,Albania,0,0,0,0,0,0,0
135,2020-02-21,Albania,0,0,0,0,0,0,0
136,2020-02-22,Albania,0,0,0,0,0,0,0
137,2020-02-23,Albania,0,0,0,0,0,0,0
138,2020-02-24,Albania,0,0,0,0,0,0,0
